rank,handle,count
1,@realdonaldtrump,24378
2,@youtube,7128
3,@joebiden,7114
4,@projectlincoln,2776
5,@kamalaharris,2725
6,@donaldjtrumpjr,1953
7,@southamptonfc,1947
8,@cnn,1731
9,@potus,1722
10,@nytimes,1694
11,@realjameswoods,1643
12,@barackobama,1594
13,@narendramodi,1567
14,@whitehouse,1529
15,@foxnews,1482
16,@speakerpelosi,1476
17,@iamcardib,1353
18,@nasa,1324
19,@gop,1320
20,@charliekirk11,1279
21,@aoc,1276
22,@msnbc,1261
23,@edmarkey,1252
24,@elonmusk,1230
25,@lfc,1211
26,@flotus,1201
27,@nba,1156
28,@dbongino,1072
29,@nygovcuomo,1061
30,@mmpadellan,1044
31,@mrandyngo,1031
32,@rexchapman,1025
33,@espn,1021
34,@mlb,986
35,@business,975
36,@meidastouch,971
37,@nbcnews,967
38,@abc,964
39,@thehill,944
40,@manutd,932
41,@hillaryclinton,903
42,@funder,884
43,@kylegriffin1,854
44,@washingtonpost,842
45,@sportscenter,836
46,@berniesanders,823
47,@kingjames,817
48,@donwinslow,809
49,@bts_twt,808
50,@ap,801
51,@seanhannity,791
52,@wsj,781
53,@premierleague,768
54,@teamtrump,754
55,@spacex,745
56,@twitter,734
57,@lopezobrador_,729
58,@andrewyang,715
59,@bleacherreport,709
60,@catturd2,704
61,@secpompeo,699
62,@jackposobiec,682
63,@maddow,678
64,@arsenal,647
65,@erictrump,640
66,@usps,638
67,@nfl,624
68,@championsleague,623
69,@theatlantic,619
70,@pmoindia,618
71,@ingrahamangle,614
72,@netflix,608
73,@ddale8,594
74,@danrather,594
75,@presssec,587
76,@therickwilson,573
77,@gopleader,571
78,@breitbartnews,570
79,@spotify,564
80,@rbreich,562
81,@space_station,550
82,@atrupar,550
83,@chelseafc,547
84,@rudygiuliani,544
85,@skysportsnews,543
86,@karluskap,541
87,@richardgrenell,529
88,@vp,523
89,@mollyjongfast,523
90,@senatemajldr,520
91,@tedcruz,519
92,@repadamschiff,515
93,@alyssa_milano,514
94,@forbes,511
95,@cbsnews,504
96,@ivankatrump,498
97,@joyannreid,498
98,@gavinnewsom,498
99,@poshmarkapp,494
100,@mancity,489
